SONG,ALBUM,SPOTIFY STREAMS,WKS ON CHART
Crazy in Love,Dangerously in Love,"1,141,641,440",27
Naughty Girl,Dangerously in Love,"197,200,179",22
Baby Boy,Dangerously in Love,"309,099,095",29
Hip Hop Star,Dangerously in Love,"6,773,025",0
Be With You,Dangerously in Love,"14,676,517",0
"Me, Myself and I",Dangerously in Love,"167,639,029",24
Yes,Dangerously in Love,"14,646,805",0
Signs,Dangerously in Love,"15,041,276",0
Speechless,Dangerously in Love,"17,300,089",0
That's How You Like It,Dangerously in Love,"13,007,089",0
The Closer I Get to You,Dangerously in Love,"23,806,059",0
Dangerously in Love,Dangerously in Love,"92,632,930",20
Gift from Virgo,Dangerously in Love,"5,121,764",0
Work It Out,Dangerously in Love,"7,951,606",0
03 Bonnie & Clyde,Dangerously in Love,"170,816,746",23
Beautiful Liar,B'Day,"272,676,039",18
Irreplaceable,B'Day,"589,867,936",30
Green Light,B'Day,"29,933,812",0
Kitty Kat,B'Day,"25,107,109",0
Welcome To Hollywood,B'Day,"7,238,226",0
Upgrade U,B'Day,"153,683,797",18
Flaws and All,B'Day,"16,683,221",0
World Wide Woman,B'Day,"4,933,951",0
Get Me Bodied,B'Day,"24,228,585",19
If,B'Day,"6,405,198",0
Freakum Dress,B'Day,"46,209,562",0
Suga Mama,B'Day,"15,252,350",0
Deja Vu,B'Day,"121,184,804",17
Ring The Alarm,B'Day,"48,104,157",14
Resentment,B'Day,"27,701,073",0
Listen,B'Day,"133,341,003",12
Amor Gitano,B'Day,"23,994,618",0
If I Were a Boy,I AM...SASHA FIERCE,"572,018,621",20
Halo,I AM...SASHA FIERCE,"1,522,595,078",31
Disappear,I AM...SASHA FIERCE,"26,715,879",0
Broken-Hearted Girl,I AM...SASHA FIERCE,"155,480,400",0
Ave Maria,I AM...SASHA FIERCE,"61,120,584",0
Smash Into You,I AM...SASHA FIERCE,"37,596,298",0
Satellites,I AM...SASHA FIERCE,"12,608,575",0
